"id_explanation_protocol","date","citizen","deal","signature_for_error_testimony","signature_for_knowing_everithing","content","need_forensic_medical_examination","need_medical_examination_certificate","citizen_signature","police_officer_signature"
1,"2024-01-15",2,1,1,1,"Гражданин пояснил, что взял велосипед по ошибке, приняв его за свой",1,1,1,1
2,"2024-01-16",3,2,1,1,"Обвиняемый признал факт нарушения общественного порядка, объяснил это алкогольным опьянением",0,1,0,1
3,"2024-01-17",4,3,1,1,Водитель признал управление транспортным средством в состоянии алкогольного опьянения,1,1,1,1
4,"2024-01-18",5,4,1,1,"Гражданин отрицает участие в мошенничестве, предоставил алиби",1,1,1,1
5,"2024-01-19",1,5,1,1,"Обвиняемый признал факт хулиганства, объяснил это личными проблемами",1,1,1,1
6,"2024-02-10",2,6,1,1,"Объясняю, что не видел знака остановки",0,0,1,1
7,"2024-02-11",3,7,1,1,Признаю хранение небольшого количества марихуаны для личного пользования,1,1,1,1
8,"2024-02-12",4,8,1,1,Употребил наркотическое средство из-за проблем со здоровьем,1,0,1,1
9,"2024-02-13",2,9,1,1,Сорвал мероприятие в состоянии алкогольного опьянения,0,1,1,1
10,"2024-02-14",1,10,1,1,Я выпил водку и побил своего друга,1,1,1,1
