"name","seq"
settlements,20
citizenship,10
education,4
type_of_punishment,10
article,10
type_intoxication,2
type_violation,10
responsibility,4
post,50
family_status,4
type_report,2
articles_and_responsobility,10
structures,12
citizens,31
citizens_and_posts,30
statement,5
appeals,5
deal,12
explanation_protocol,10
forensic_medical_examination,5
medical_examination_report,5
medical_examination_certificate,5
administrative_protocol,12
resolution,1
settlements,"20"
citizenship,"10"
education,"4"
type_of_punishment,"10"
article,"10"
type_intoxication,"2"
type_violation,"10"
responsibility,"4"
post,"50"
family_status,"4"
type_report,"2"
articles_and_responsobility,"10"
structures,"12"
citizens,"31"
citizens_and_posts,"30"
statement,"5"
appeals,"5"
deal,"12"
explanation_protocol,"10"
forensic_medical_examination,"5"
medical_examination_report,"5"
medical_examination_certificate,"5"
administrative_protocol,"12"
resolution,"1"
